date,rank,title,artist,collab
10/13/90,4,Ice Ice Baby,Vanilla Ice,
10/13/90,5,Black Cat,Janet Jackson,
10/13/90,6,(Can t Live Without Your) Love And Affection,Nelson,
10/13/90,7,Romeo,Dino,
10/13/90,8,Something Happened On The Way To Heaven,Phil Collins,
10/13/90,9,Everybody Everybody,Black Box,
10/13/90,10,Oh Girl,Paul Young,
10/20/90,1,I Don t Have The Heart,James Ingram,
10/20/90,2,Black Cat,Janet Jackson,
10/20/90,3,Praying For Time,George Michael,
10/20/90,4,Ice Ice Baby,Vanilla Ice,
10/20/90,5,Close To You,Maxi Priest,
10/20/90,6,Romeo,Dino,
10/20/90,7,Giving You The Benefit,Pebbles,
10/20/90,8,Everybody Everybody,Black Box,
10/20/90,9,Can t Stop,After 7,
10/20/90,10,(Can t Live Without Your) Love And Affection,Nelson,
10/27/90,1,Black Cat,Janet Jackson,
10/27/90,2,I Don t Have The Heart,James Ingram,
10/27/90,3,Ice Ice Baby,Vanilla Ice,
10/27/90,4,Giving You The Benefit,Pebbles,
10/27/90,5,Love Takes Time,Mariah Carey,
10/27/90,6,Can t Stop,After 7,
10/27/90,7,Close To You,Maxi Priest,
10/27/90,8,Praying For Time,George Michael,
10/27/90,9,Suicide Blonde,INXS,
10/27/90,10,Everybody Everybody,Black Box,
11/3/90,1,Ice Ice Baby,Vanilla Ice,
11/3/90,2,Black Cat,Janet Jackson,
11/3/90,3,Love Takes Time,Mariah Carey,
11/3/90,4,Giving You The Benefit,Pebbles,
11/3/90,5,I Don t Have The Heart,James Ingram,
11/3/90,6,Pray,M.C. Hammer,
11/3/90,7,Can t Stop,After 7,
11/3/90,8,More Than Words Can Say,Alias,
11/3/90,9,Suicide Blonde,INXS,
11/3/90,10,Cherry Pie,Warrant,
11/10/90,1,Love Takes Time,Mariah Carey,
11/10/90,2,Pray,M.C. Hammer,
11/10/90,3,Ice Ice Baby,Vanilla Ice,
11/10/90,4,Giving You The Benefit,Pebbles,
11/10/90,5,I Don t Have The Heart,James Ingram,
11/10/90,6,More Than Words Can Say,Alias,
11/10/90,7,Black Cat,Janet Jackson,
11/10/90,8,Groove Is In The Heart,Deee-Lite,
11/10/90,9,Knockin  Boots,Candyman,
11/10/90,10,Something To Believe In,Poison,
11/17/90,1,Love Takes Time,Mariah Carey,
11/17/90,2,Pray,M.C. Hammer,
11/17/90,3,More Than Words Can Say,Alias,
11/17/90,4,Groove Is In The Heart,Deee-Lite,
11/17/90,5,I m Your Baby Tonight,Whitney Houston,
11/17/90,6,Ice Ice Baby,Vanilla Ice,
11/17/90,7,Something To Believe In,Poison,
11/17/90,8,Because I Love You (The Postman Song),Stevie B,
11/17/90,9,I Don t Have The Heart,James Ingram,
11/17/90,10,From A Distance,Bette Midler,
11/24/90,1,Love Takes Time,Mariah Carey,
11/24/90,2,More Than Words Can Say,Alias,
11/24/90,3,I m Your Baby Tonight,Whitney Houston,
11/24/90,4,Groove Is In The Heart,Deee-Lite,
11/24/90,5,Because I Love You (The Postman Song),Stevie B,
11/24/90,6,Something To Believe In,Poison,
11/24/90,7,From A Distance,Bette Midler,
11/24/90,8,Pray,M.C. Hammer,
11/24/90,9,Feels Good,Tony Toni Tone,
11/24/90,10,Knockin  Boots,Candyman,
12/1/90,1,I m Your Baby Tonight,Whitney Houston,
12/1/90,2,Love Takes Time,Mariah Carey,
12/1/90,3,Because I Love You (The Postman Song),Stevie B,
12/1/90,4,Groove Is In The Heart,Deee-Lite,
12/1/90,5,From A Distance,Bette Midler,
12/1/90,6,Something To Believe In,Poison,
12/1/90,7,More Than Words Can Say,Alias,
12/1/90,8,The Way You Do The Things You Do,UB40,
12/1/90,9,Impulsive,Wilson Phillips,
12/1/90,10,Feels Good,Tony Toni Tone,
12/8/90,1,Because I Love You (The Postman Song),Stevie B,
12/8/90,2,I m Your Baby Tonight,Whitney Houston,
12/8/90,3,From A Distance,Bette Midler,
12/8/90,4,Something To Believe In,Poison,
12/8/90,5,Love Takes Time,Mariah Carey,
12/8/90,6,Groove Is In The Heart,Deee-Lite,
12/8/90,7,Impulsive,Wilson Phillips,
12/8/90,8,The Way You Do The Things You Do,UB40,
